candidate,A,donation_apy,reserved_profit_fraction,mid_fee_bps,out_fee_bps,fee_gamma,apy,apy_net,apy_net_gm,apy_xcp,apy_xcp_net,yb_apy_1p2_fee,yb_final_growth,yb_releverage_trades,lp_xcp_profit_final,max_7d_pdiff_bps,max_7d_skew_pct,trades,n_rebalances,tw_avg_pool_fee,summary_path
btc_a5_mf120_of163_fg00850937_don0187374_rpf433333,5.0,0.01873737373737374,0.4333333333,120,163,0.0085093697,0.0701287251406757,0.04991062773388988,0.03830031953492275,0.07996281209701017,0.05991556956864352,0.05536261285475352,1.1357770270744691,52985,1172750152785461760,1741.5038792961284,66.89237162845123,23913,33982,0.01262576298446716,python/arb_sim/run_data/btc-candidates-yb-opt/btc_a5_mf120_of163_fg00850937_don0187374_rpf433333/summary.json
btc_a5_mf137_of163_fg0784957_don0208586_rpf436869,5.0,0.02085858585858586,0.4368686869,137,163,0.07849574,0.07158362785545869,0.049038374877668156,0.025810882657799083,0.08090911024762981,0.05859641593496323,0.052253090849146186,1.1278859584575591,57308,1176330338696027136,1699.6117056520784,66.66244885984187,21391,32277,0.01380811760520338,python/arb_sim/run_data/btc-candidates-yb-opt/btc_a5_mf137_of163_fg0784957_don0208586_rpf436869/summary.json
btc_a5_mf120_of135_fg00193463_don0159091_rpf390909,5.0,0.01590909090909091,0.3909090909,120,135,0.0019346315,0.06250539959362023,0.04539236881793651,0.035952959120063445,0.07864124440834819,0.06161683872977908,0.04451931283323924,1.1083973205335709,52696,1153128699623914752,1653.8921628719963,66.45162513613255,24475,33195,0.012404933264291526,python/arb_sim/run_data/btc-candidates-yb-opt/btc_a5_mf120_of135_fg00193463_don0159091_rpf390909/summary.json
