fee,fee_bps,apy
0.0020000000000000005,20.000000000000004,0.04453974474356559
0.0023692221574249284,23.692221574249285,0.0446308823093704
0.0028066068156166186,28.066068156166185,0.0447205582690422
0.0033247375273693564,33.247375273693564,0.044788950731485366
0.003938520908732828,39.38520908732828,0.04486659074674604
0.00466561550222559,46.656155022255895,0.04498725367588552
0.005526939812949051,55.269398129490504,0.04512109131317388
0.006547274133796447,65.47274133796446,0.04518422406340239
0.007755973474262822,77.55973474262822,0.04521899789429673
0.00918781210381175,91.8781210381175,0.04529768024752667
0.01088398400730387,108.8398400730387,0.0455801971807821
0.012893288035581452,128.93288035581452,0.04584452477726475
0.015273531847980658,152.73531847980658,0.04605892901932873
0.01809319503818554,180.93195038185542,0.04578564139752794
0.02143339929153999,214.33399291539988,0.04584882780056332
0.025390242255226163,253.90242255226164,0.04533137766805173
0.03007756226673427,300.7756226673427,0.043584382497691365
0.035630213481837404,356.30213481837404,0.04167363409047087
0.04220794562747481,422.0794562747481,0.04073172449055984
0.049999999999999996,499.99999999999994,0.039320838878092124
