idx,tag,A,donation_apy,reserved_profit_fraction,mid_fee_bps,out_fee_bps,fee_gamma,yb_apy,yb_apy_gm,apy_net,apy_net_gm,lp_xcp_profit,max_7d_pdiff_bps,max_7d_skew_pct,tw_avg_pool_fee,folder
1,eth_a5_mf50_of209_fg0818547_don036364_rpf296970,5.0,0.03636363636363636,0.296969697,50.0,208.99999999999997,0.081854673,0.045996555027454235,0.0011719609817817274,0.07577888913990294,0.07198645541116856,,1408.9731773453516,64.70359530905253,0.005713716756285768,eth_a5_mf50_of209_fg0818547_don036364_rpf296970
2,eth_a5_mf50_of251_fg0670019_don043939_rpf333333,5.0,0.04393939393939394,0.3333333333,50.0,251.0,0.067001875,0.05778810781340358,0.0016148097759166359,0.08012452234749734,0.07571272682616105,,1411.553928576269,65.02546248873149,0.006160025058482427,eth_a5_mf50_of251_fg0670019_don043939_rpf333333
3,eth_a5_mf73_of227_fg1_don062879_rpf385859,5.0,0.06287878787878788,0.3858585859,73.0,227.00000000000003,0.1,0.06045099552433915,0.0009845398654718628,0.0840050715950369,0.07533350750184126,,1387.0792133070395,64.49017238374934,0.007872838513273766,eth_a5_mf73_of227_fg1_don062879_rpf385859
4,eth_a5_mf66_of166_fg0818547_don028030_rpf272727,5.0,0.02803030303030303,0.2727272727,66.0,166.0,0.081854673,0.04210418427676624,0.000955111158745316,0.07733423333985834,0.07426859671553902,,1433.8962675125683,64.99346000372142,0.007004875143547315,eth_a5_mf66_of166_fg0818547_don028030_rpf272727
5,eth_a5_mf50_of288_fg0818547_don046212_rpf341414,5.0,0.04621212121212121,0.3414141414,50.0,288.0,0.081854673,0.05972133560572762,0.001554685284549822,0.08062197420847994,0.07593767825796431,,1379.0304993027648,64.40082524586312,0.006195237748813006,eth_a5_mf50_of288_fg0818547_don046212_rpf341414
