candidate,A,donation_apy,reserved_profit_fraction,mid_fee_bps,out_fee_bps,fee_gamma,apy,apy_net,apy_net_gm,apy_xcp,apy_xcp_net,yb_apy_1p2_fee,yb_final_growth,yb_releverage_trades,lp_xcp_profit_final,max_7d_pdiff_bps,max_7d_skew_pct,trades,n_rebalances,tw_avg_pool_fee,plot_path,summary_path
eth_a5_mf50_of209_fg0818547_don036364_rpf296970,5.0,0.03636363636363636,0.296969697,50.0,209.0,0.081854673,0.11629541080049255,0.07577888913990294,0.07198645541116856,0.18598676488287458,0.14363476448199708,0.05457614813238836,1.1349374469442126,52035,1297724451056992768,1408.9731773453516,64.70359530905253,99755,105300,0.005713716756285768,python/arb_sim/run_data/eth-yb-opt-candidates/eth_a5_mf50_of209_fg0818547_don036364_rpf296970/shift_click_yb_plot.png,python/arb_sim/run_data/eth-yb-opt-candidates/eth_a5_mf50_of209_fg0818547_don036364_rpf296970/summary.json
eth_a5_mf50_of251_fg0670019_don043939_rpf333333,5.0,0.04393939393939394,0.3333333333,50.0,251.0,0.067001875,0.1294723984604571,0.08012452234749734,0.07571272682616105,0.1859491472573096,0.13496763872563644,0.06650521981206033,1.1657573130977827,50074,1334104890236429568,1411.553928576269,65.02546248873149,94768,100902,0.006160025058482427,python/arb_sim/run_data/eth-yb-opt-candidates/eth_a5_mf50_of251_fg0670019_don043939_rpf333333/shift_click_yb_plot.png,python/arb_sim/run_data/eth-yb-opt-candidates/eth_a5_mf50_of251_fg0670019_don043939_rpf333333/summary.json
eth_a5_mf73_of227_fg1_don062879_rpf385859,5.0,0.06287878787878788,0.3858585859,73.0,227.0,0.1,0.15597550886205847,0.0840050715950369,0.07533350750184126,0.1948810753116461,0.12206203996012377,0.07054053255163044,1.1762914930699928,53436,1407642943128344064,1387.0792133070395,64.49017238374934,65199,75579,0.007872838513273766,python/arb_sim/run_data/eth-yb-opt-candidates/eth_a5_mf73_of227_fg1_don062879_rpf385859/shift_click_yb_plot.png,python/arb_sim/run_data/eth-yb-opt-candidates/eth_a5_mf73_of227_fg1_don062879_rpf385859/summary.json
eth_a5_mf66_of166_fg0818547_don028030_rpf272727,5.0,0.02803030303030303,0.2727272727,66.0,166.0,0.081854673,0.10867002079184274,0.07733423333985834,0.07426859671553902,0.18792046390397998,0.15508508847931624,0.05210229257412522,1.128605929567192,53477,1276604315350468608,1433.8962675125683,64.99346000372142,75352,85869,0.007004875143547315,python/arb_sim/run_data/eth-yb-opt-candidates/eth_a5_mf66_of166_fg0818547_don028030_rpf272727/shift_click_yb_plot.png,python/arb_sim/run_data/eth-yb-opt-candidates/eth_a5_mf66_of166_fg0818547_don028030_rpf272727/summary.json
eth_a5_mf50_of288_fg0818547_don046212_rpf341414,5.0,0.04621212121212121,0.3414141414,50.0,288.0,0.081854673,0.1326065928832012,0.08062197420847994,0.07593767825796431,0.1862475222594655,0.13267600930456425,0.06835615579445073,1.1705823542222331,50410,1342818805860024320,1379.0304993027648,64.40082524586312,94919,101682,0.006195237748813006,python/arb_sim/run_data/eth-yb-opt-candidates/eth_a5_mf50_of288_fg0818547_don046212_rpf341414/shift_click_yb_plot.png,python/arb_sim/run_data/eth-yb-opt-candidates/eth_a5_mf50_of288_fg0818547_don046212_rpf341414/summary.json
